channel_id,channel_title,niche,country,published_at,subscriber_count,total_views,video_count,data_source,has_ad_keywords,has_affiliate_signals,has_marketplace_links,has_brand_store_links,has_instagram,has_telegram,has_tiktok,has_vk,has_twitter_x,has_facebook,has_discord,has_external_links,external_links_count,ecosystem_detected,matched_ad_keywords,matched_store_domains,channel_external_links,proportion_videos_with_ad_signals,proportion_videos_with_external_links,parser_data_source,avg_views_last_50,avg_likes_last_50,avg_comments_last_50,engagement_rate_estimate,upload_frequency_estimate,videos_analysed
UCmbzthMYaX8FAe_cZSrGMrA,MobileReviewcom,Tech devices and computer peripherals,US,2009-10-13T00:35:31Z,398000,18663879,950,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,344,True,ad,,https://gosuslugi.ru/snet/67a08c25de97c91600d5ae01,0.02,0.98,API text analysis,11988.1,506.7,176.24,0.057618,3.3 videos/week,50
UCQ18THOcZ8nIP-A3ZCqqZwA,BIG GEEK,Tech devices and computer peripherals,RU,2011-01-24T01:01:41Z,1430000,176423158,1764,YouTube Data API v3,True,False,False,False,True,True,False,True,True,True,False,True,111,True,реклама|промокод|ad,,https://www.gosuslugi.ru/snet/67a4693ca16f1b5542922ba2|https://biggeek.ru/|https://mews.biggeek.ru|https://t.me/biggeekru|http://instagram.com/biggeekru|https://twitter.com/biggeekru|http://vk.com/biggeekru|http://facebook.com/biggeekru,0.2,0.2,API text analysis,37223.38,874.22,123.4,0.025071,7.1 videos/week,50
UC9GeLpqZYdXacKvtpccS4hw,Rozetked Live,Tech devices and computer peripherals,,2025-05-21T08:35:34.436296Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCnhtNyHVK3vohIW4x1GnOAg,Quke.ru,Tech devices and computer peripherals,RU,2009-05-16T15:54:48Z,327000,136416955,2634,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,346,True,referral|ad,ozon.ru|wildberries.ru,,0.82,0.96,API text analysis,8909.58,262.24,69.08,0.04487,3.5 videos/week,50
UCgkaE_eh-REB8jXxewzoXbg,SMART ОБЗОР,Tech devices and computer peripherals,RU,2016-11-12T14:38:50Z,140000,45477211,596,YouTube Data API v3,True,True,True,True,False,True,False,True,False,False,False,True,219,True,реклама|скидка|ad,aliexpress.ru|ozon.ru,https://t.me/smartobzorchannel|https://vk.com/sobzor|https://rutube.ru/channel/24688550/|https://clck.ru/3GgUFZ,0.5,1.0,API text analysis,34958.7,676.66,257.44,0.031928,1.8 videos/week,50
UCF42abSQuakkeijvlT_qGtQ,#ЧУДОТЕХНИКИ с Георгием Беловым,Tech devices and computer peripherals,,2012-04-05T14:25:38Z,234000,84781517,894,YouTube Data API v3,True,False,False,False,False,True,False,True,False,False,False,True,140,True,реклама|промокод|скидка|акция|ad,,https://vk.com/belov_gera|https://t.me/drink_fuck_ride|https://vk.com/belov_gera|https://vk.com/chydotech,0.36,0.5,API text analysis,15538.04,467.0,72.06,0.046133,2.4 videos/week,50
UCArZrYY9BNMhXazeDVhhC7Q,H37Z3US,Tech devices and computer peripherals,,2008-01-22T21:20:09Z,99,92906,7,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,2,True,ad,,,0.1111,0.2222,API text analysis,10322.89,70.89,3.67,0.004297,0.0 videos/week,9
UCXxQ1IaZxDIerWTGKOYj3jA,Хауди Хо,Tech devices and computer peripherals,,2020-06-02T15:09:14.55672Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCMcC_43zGHttf9bY-xJOTwA,egoroff_channel,Tech devices and computer peripherals,RU,2015-03-02T20:59:14Z,141000,17984525,605,YouTube Data API v3,True,False,False,False,False,False,False,True,False,False,False,True,325,True,промокод|скидка|ad,,https://www.youtube.com/channel/UCMcC_43zGHttf9bY-xJOTwA/join|https://boosty.to/egoroff_channel|https://www.patreon.com/artem_egorov|https://stepik.org/course/63085/promo|https://stepik.org/course/72969/promo|http://egoroffartem.pythonanywhere.com/|https://vk.com/python.study,0.08,0.82,API text analysis,6750.68,181.3,16.24,0.031513,0.2 videos/week,50
UCIIt69f5D44s2cdb9vXQNzA,loftblog,Tech devices and computer peripherals,RU,2013-03-20T19:40:05Z,373000,38855319,1732,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,87,True,промокод|скидка|ad,,,0.52,0.88,API text analysis,5975.44,215.92,7.3,0.031473,0.7 videos/week,50
UCDzGdB9TTgFm8jRXn1tBdoA,Ulbi TV,Tech devices and computer peripherals,RU,2020-07-06T10:02:31.56891Z,330000,34345719,181,YouTube Data API v3,True,False,False,False,False,True,False,False,False,False,False,True,303,True,реклама|промокод|скидка|акция|ad,,https://ulbitv.ru/frontend|https://t.me/vacancy_it_ulbitv|https://t.me/ulbi_tv|https://itbooster.ru|https://boosty.to/ulbitv|http://qiwi.com/n/BODYE821​|https://yoomoney.ru/to/4100116193037469,0.32,0.98,API text analysis,204741.8,7947.28,658.78,0.047662,0.3 videos/week,50
UC2Ev-rDSHBov0ZMChesLfrg,ITDoctor,Tech devices and computer peripherals,RU,2017-09-01T15:26:41Z,74300,10062434,1179,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,480,True,ad,,,0.06,1.0,API text analysis,408.88,22.42,5.1,0.070232,1.6 videos/week,50
UCp4sZ7GWDNNa3V4I8AGp6eg,Przemysław Sujka,Tech devices and computer peripherals,,2010-09-23T20:55:16Z,82,14148,47,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,False,0,True,ad,,,0.2917,0.0,API text analysis,294.77,0.1,0.0,0.000165,0.1 videos/week,48
UCryRkPgrsHLb6Zu5iz3kcoQ,SimpleCode,Tech devices and computer peripherals,,2007-04-22T05:59:38Z,2,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCon-8z64xj0P6QnWfarln9w,Web Developer Blog,Tech devices and computer peripherals,,2014-01-14T14:51:27Z,1,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,True,1,False,,,http://web-developer-blog.com,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCodIRuNfsp09zPs1bFxNSRw,PurpleSchool | Anton Larichev,Tech devices and computer peripherals,RU,2022-05-04T13:10:18.378638Z,58300,14493481,1229,YouTube Data API v3,True,False,False,False,False,True,False,True,False,False,False,True,42,True,ad,,https://purpleschool.ru|https://t.me/purple_code_channel|https://vk.com/purpleschool_ru|https://knd.gov.ru/license?id=676528d896de59064d1889ba&registryType=bloggersPermission,0.08,0.08,API text analysis,6008.66,118.52,8.34,0.020321,14.6 videos/week,50
UClLNWcchK26Ch5JjQpeQcXQ,CJ Wilson,Tech devices and computer peripherals,,2007-09-14T07:17:16Z,12,10144,13,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,False,0,True,ad,,,0.2308,0.0,API text analysis,780.31,6.15,0.85,0.009081,0.0 videos/week,13
UCKfqzDKWquNHrAVKKXilxIA,パソコン博士,Tech devices and computer peripherals,JP,2009-03-07T08:29:14Z,2570,1966797,612,YouTube Data API v3,False,True,True,True,False,False,False,False,False,False,False,True,161,True,,amzn.to,,0.0,0.44,API text analysis,1474.02,5.9,0.94,0.014133,1.9 videos/week,50
UCCzCmIjt1ZXmF8B8kOcMsug,hardwareman,Tech devices and computer peripherals,,2006-03-17T19:44:02Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UC2D9iDnY_ZD7sozyhN-Bq4A,Remonter,Tech devices and computer peripherals,RU,2010-03-28T17:56:36Z,1070000,361320906,1152,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,573,True,реклама|промокод|ad,aliexpress.com|aliexpress.ru|dns-shop.ru|ozon.ru|wildberries.ru,https://taplink.cc/remonter_donate|https://gosuslugi.ru/snet/67d33e4810771d5d0224acaa,0.22,1.0,API text analysis,68296.58,3368.9,205.28,0.061137,0.9 videos/week,50
UCgkuz5RKVcFa6EhY_d6zH_w,Denise Baumgärtner,Tech devices and computer peripherals,,2009-01-06T17:20:07Z,16,38126,2,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,False,0,True,ad,,,0.5,0.0,API text analysis,19063.0,43.5,11.5,0.002961,insufficient data,2
UC2DGCxgumWbZ-_XG3viK6_w,Georgy Lapin,Tech devices and computer peripherals,RU,2011-09-29T14:22:52Z,52,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCSpU8Y1aoqBSAwh8DBpiM9A,Keddr.com,Tech devices and computer peripherals,UA,2010-10-23T12:09:47Z,623000,220777177,4100,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,358,True,реклама|промокод|ad,aliexpress.com,,0.18,0.6,API text analysis,27723.96,1204.06,122.88,0.049945,4.7 videos/week,50
UC7hhJzOlrPOdM2jmrmD59XA,Gadget Page,Tech devices and computer peripherals,FR,2016-05-17T14:06:46Z,115000,35474137,666,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,374,True,реклама|промокод|скидка|купон|ad,aliexpress.com|aliexpress.ru|amazon.co|amazon.com|ozon.ru|wildberries.ru,,0.96,0.96,API text analysis,85096.24,822.8,77.18,0.02386,0.3 videos/week,50
UClCbO3neTcdKU6ziiAj1WHg,Hank Hank,Tech devices and computer peripherals,,2024-01-30T02:48:48.225829Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCBHteYIfswYlANtOCVneahQ,Алишер,Tech devices and computer peripherals,,2026-01-28T11:04:24.373907Z,25,21419,40,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,535.58,8.7,0.42,0.013583,5.8 videos/week,40
UCTkylRgSJnserbqZXJAah0A,TechnoVin,Tech devices and computer peripherals,PH,2017-08-18T03:46:17Z,1790,977200,157,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,2,True,ad,,,0.1,0.04,API text analysis,3365.42,8.58,1.42,0.011329,0.1 videos/week,50
UCHFNDph3zTYh8-hwofOVXsg,stupidmadworld,Tech devices and computer peripherals,KZ,2013-10-21T17:45:15Z,846000,221359911,1454,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,314,True,реклама|промокод|купон|ad,,,0.76,0.78,API text analysis,151551.08,6901.0,666.08,0.049219,3.0 videos/week,50
UCe_vXdMrHHseZ_esYUskSBw,CrazyRussianHacker,Tech devices and computer peripherals,US,2012-05-18T19:29:15Z,12000000,3795910170,2954,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,2,True,ad,,,0.5,0.04,API text analysis,426172.94,5723.34,119.14,0.020573,8.3 videos/week,50
UCU_yU4xGT9hrVFo6euH8LLw,SlivkiShow,Tech devices and computer peripherals,IT,2012-12-11T08:59:55Z,21300000,5290373546,517,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,221,True,сотрудничество|промокод|ad,,,1.0,0.92,API text analysis,5616778.72,154155.32,5065.46,0.025972,0.4 videos/week,50
UCSF6ewY9LS8GnbphwvnZpUg,Mamix,Tech devices and computer peripherals,US,2017-02-01T07:21:15Z,15600000,2951875403,482,YouTube Data API v3,True,False,True,True,False,False,False,False,False,False,False,True,204,True,сотрудничество|реклама|промокод,ozon.ru,https://rutube.ru/channel/70619219/|https://dzen.ru/itsmamix|https://gosuslugi.ru/snet/67bf0685d501cf3b2cea804b,0.04,0.98,API text analysis,6825507.7,377020.22,8898.5,0.060373,0.2 videos/week,50
UCngAnt_PUTqpTIXPEdYI60w,technoblog,Tech devices and computer peripherals,,2006-10-22T13:54:00Z,1,5835,5,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,1167.0,0.6,0.0,0.000515,3.2 videos/week,5
UCP9YdJxNsGGXoLCk8ovnlzQ,AD,Tech devices and computer peripherals,KW,2017-12-03T07:47:13Z,1410,197359,29,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,3,True,ad,,,0.0345,0.1034,API text analysis,6805.48,105.55,15.14,0.068223,0.2 videos/week,29
UCA-JK7chBxEsGHQs3m6UK5A,Device Lab,Tech devices and computer peripherals,US,2018-12-15T14:00:22Z,20900,15581160,2043,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,151,True,ad,,,0.22,0.78,API text analysis,297.92,5.12,0.82,0.034987,15.2 videos/week,50
